origin,dest,route,n_obs,total_pax,mean_fare,std_fare,fare_cv,n_carriers,avg_distance,avg_coupons,dist_band,carriers_list
DCA,EWR,DCA-EWR,912,1796.0,245.82,128.87,0.5242,3,199.0,1.0,short,"G7,UA,YX"
LGA,FLL,LGA-FLL,3969,16318.0,215.98,175.75,0.8137,11,1097.0,1.17,medium,"9E,AA,B6,DL,F9,NK,OO,UA,WN,YV,YX"
FLL,LGA,FLL-LGA,4044,17260.0,220.34,181.98,0.8259,10,1104.0,1.2,medium,"9E,AA,B6,DL,F9,NK,OH,UA,WN,YX"
LGA,HHH,LGA-HHH,214,309.0,254.19,145.12,0.5709,6,706.0,1.19,medium,"9E,AA,DL,MQ,OH,YX"
HHH,LGA,HHH-LGA,188,284.0,266.23,127.17,0.4777,4,708.0,1.21,medium,"AA,DL,MQ,YX"
LGA,HNL,LGA-HNL,160,165.0,494.96,479.59,0.9689,6,5075.0,2.24,long,"AA,DL,HA,UA,WN,YX"
LGA,ILM,LGA-ILM,907,1980.0,229.87,147.14,0.6401,6,509.0,1.09,medium,"9E,AA,DL,OH,PT,YX"
ILM,LGA,ILM-LGA,899,1934.0,220.95,130.9,0.5924,7,507.0,1.08,medium,"9E,AA,DL,MQ,OH,PT,YX"
LGA,JAX,LGA-JAX,1769,2412.0,232.07,135.15,0.5824,12,871.0,1.31,medium,"9E,AA,B6,DL,F9,MQ,OH,OO,UA,WN,YV,YX"
MCI,EWR,MCI-EWR,1225,1539.0,258.2,141.42,0.5477,10,1138.0,1.3,medium,"9E,AA,DL,MQ,NK,OO,UA,YV,YX,ZW"
LGA,MCO,LGA-MCO,4334,17744.0,208.1,147.07,0.7067,11,1001.0,1.25,medium,"9E,AA,B6,DL,F9,MQ,NK,OH,UA,WN,YX"
LGA,MKE,LGA-MKE,1435,2070.0,233.15,117.25,0.5029,11,792.0,1.22,medium,"9E,AA,B6,DL,F9,OH,OO,UA,WN,YX,ZW"
LGA,MSN,LGA-MSN,762,885.0,347.94,174.16,0.5006,10,840.0,1.36,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,YX,ZW"
LGA,MSY,LGA-MSY,2439,4673.0,251.72,168.22,0.6683,12,1226.0,1.29,medium,"9E,AA,B6,DL,F9,MQ,NK,OH,OO,UA,WN,YX"
LGA,TYS,LGA-TYS,879,1427.0,247.64,135.57,0.5475,11,660.0,1.13,medium,"9E,AA,C5,DL,MQ,OH,OO,PT,UA,YX,ZW"
LGA,DSM,LGA-DSM,776,1068.0,274.09,133.5,0.4871,10,1067.0,1.28,medium,"9E,AA,DL,MQ,OH,OO,UA,WN,YX,ZW"
DSM,DCA,DSM-DCA,643,925.0,289.59,134.86,0.4657,12,930.0,1.32,medium,"9E,AA,DL,G7,MQ,OH,OO,PT,UA,WN,YX,ZW"
LGA,MLI,LGA-MLI,111,118.0,281.28,182.21,0.6478,10,993.0,2.04,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,YX,ZW"
MLI,EWR,MLI-EWR,75,78.0,337.0,185.99,0.5519,10,959.0,2.07,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,YX,ZW"
DSM,JFK,DSM-JFK,31,33.0,274.2,155.0,0.5653,6,1200.0,2.03,medium,"9E,AA,DL,OH,YX,ZW"
DSM,EWR,DSM-EWR,333,595.0,229.32,179.09,0.781,10,1070.0,1.68,medium,"9E,AA,DL,G4,G7,MQ,OO,UA,YX,ZW"
TVC,BOS,TVC-BOS,220,241.0,299.06,162.93,0.5448,9,850.0,1.5,medium,"9E,AA,DL,G7,MQ,OO,UA,YX,ZW"
LGA,EYW,LGA-EYW,383,488.0,293.39,177.54,0.6051,5,1223.0,1.19,medium,"AA,B6,DL,MQ,YX"
EYW,JFK,EYW-JFK,83,84.0,264.42,177.26,0.6704,6,1255.0,2.0,medium,"3M,AA,B6,DL,MQ,YX"
EYW,LGA,EYW-LGA,399,510.0,306.64,190.15,0.6201,8,1230.0,1.32,medium,"3M,9E,AA,B6,DL,MQ,UA,YX"
EYW,HPN,EYW-HPN,24,24.0,334.12,215.12,0.6438,7,1329.0,2.0,medium,"3M,AA,B6,DL,MQ,OH,YX"
GSO,JFK,GSO-JFK,37,37.0,209.16,100.36,0.4798,6,575.0,2.03,medium,"9E,AA,MQ,OH,PT,YX"
GSP,JFK,GSP-JFK,77,80.0,261.72,221.79,0.8474,7,665.0,2.0,medium,"9E,AA,DL,MQ,OH,PT,YX"
GSP,DCA,GSP-DCA,568,902.0,252.32,130.56,0.5174,8,449.0,1.22,short,"9E,AA,DL,G7,MQ,OH,WN,YX"
LGA,HYA,LGA-HYA,57,120.0,200.74,117.83,0.5869,2,199.0,1.09,short,"B6,YX"
HYA,LGA,HYA-LGA,59,108.0,200.07,122.77,0.6136,2,203.0,1.12,short,"B6,YX"
IAD,BTV,IAD-BTV,312,367.0,245.34,120.32,0.4904,5,442.0,1.03,short,"C5,G7,UA,YV,YX"
BUF,EWR,BUF-EWR,975,1383.0,185.62,85.51,0.4607,5,287.0,1.03,short,"C5,G7,UA,YV,YX"
CHO,EWR,CHO-EWR,21,21.0,253.64,159.11,0.6273,3,312.0,2.05,short,"C5,UA,YX"
CVG,EWR,CVG-EWR,1696,2672.0,212.74,116.48,0.5475,12,575.0,1.04,medium,"9E,AA,C5,DL,G4,G7,MQ,OH,OO,UA,YV,YX"
CAK,ORD,CAK-ORD,345,451.0,195.84,83.64,0.4271,3,343.0,1.01,short,"OO,UA,YX"
LGA,MOT,LGA-MOT,27,30.0,376.14,173.53,0.4614,4,1552.0,2.26,long,"DL,OO,UA,YX"
LGA,MRY,LGA-MRY,81,90.0,320.52,293.59,0.916,4,2769.0,2.09,long,"AA,OO,UA,YX"
HNL,LGA,HNL-LGA,166,172.0,465.73,422.24,0.9066,7,5074.0,2.26,long,"9E,AA,DL,HA,UA,WN,YX"
LGA,BRO,LGA-BRO,54,54.0,303.96,246.33,0.8104,5,1826.0,2.09,long,"AA,MQ,OO,UA,YX"
LGA,LAS,LGA-LAS,1354,1719.0,248.84,201.1,0.8081,10,2337.0,2.03,long,"9E,AA,B6,DL,F9,NK,OO,UA,WN,YX"
LGA,MOB,LGA-MOB,123,131.0,278.94,167.5,0.6005,7,1091.0,2.09,medium,"9E,AA,DL,OO,PT,UA,YX"
LGA,COS,LGA-COS,239,262.0,261.11,144.39,0.553,8,1792.0,2.04,long,"AA,C5,DL,OH,OO,UA,WN,YX"
ORF,EWR,ORF-EWR,845,1215.0,194.69,92.63,0.4758,6,290.0,1.05,short,"C5,G7,NK,UA,YV,YX"
LGA,ROA,LGA-ROA,341,480.0,218.99,111.26,0.508,6,452.0,1.19,short,"9E,AA,DL,OH,PT,YX"
ROA,LGA,ROA-LGA,354,517.0,214.16,96.73,0.4517,10,421.0,1.12,short,"9E,AA,C5,DL,OH,OO,PT,UA,YV,YX"
LGA,ROC,LGA-ROC,433,884.0,222.04,107.63,0.4847,6,260.0,1.03,short,"9E,AA,DL,OO,PT,YX"
SCE,EWR,SCE-EWR,102,113.0,223.99,136.86,0.611,3,194.0,1.01,short,"G7,UA,YX"
LGA,BUR,LGA-BUR,304,397.0,226.29,131.91,0.5829,8,2571.0,2.16,long,"9E,AA,DL,NK,OO,UA,WN,YX"
LGA,KOA,LGA-KOA,33,33.0,465.13,274.46,0.5901,4,4973.0,2.21,long,"AA,DL,UA,YX"
ILM,BOS,ILM-BOS,502,574.0,267.5,160.21,0.5989,9,742.0,1.64,medium,"9E,AA,DL,G7,MQ,OH,PT,UA,YX"
ILM,JFK,ILM-JFK,37,37.0,232.58,129.24,0.5557,4,677.0,2.0,medium,"9E,AA,OH,YX"
JAX,EWR,JAX-EWR,1919,3473.0,243.36,129.63,0.5327,10,838.0,1.15,medium,"9E,AA,B6,DL,MQ,OO,PT,UA,YV,YX"
JAX,BOS,JAX-BOS,1688,3523.0,272.09,160.12,0.5885,11,1049.0,1.38,medium,"9E,AA,B6,DL,F9,MQ,OH,UA,WN,YV,YX"
MCO,JFK,MCO-JFK,2568,14923.0,249.21,166.47,0.668,6,957.0,1.11,medium,"9E,AA,B6,DL,UA,YX"
LGA,TLH,LGA-TLH,199,224.0,379.29,257.53,0.679,9,1008.0,2.07,medium,"3M,9E,AA,B6,DL,MQ,OH,PT,YX"
TLH,LGA,TLH-LGA,227,255.0,388.0,411.38,1.0603,9,1061.0,2.04,medium,"3M,9E,AA,B6,DL,MQ,OH,PT,YX"
LGA,LIT,LGA-LIT,868,1063.0,250.0,137.61,0.5504,11,1155.0,1.4,medium,"9E,AA,C5,DL,F9,MQ,OH,OO,UA,WN,YX"
LIT,EWR,LIT-EWR,254,263.0,319.49,182.95,0.5726,11,1253.0,2.03,medium,"9E,AA,C5,DL,G7,MQ,OH,OO,UA,YV,YX"
LIT,JFK,LIT-JFK,56,57.0,303.69,203.83,0.6712,5,1233.0,2.04,medium,"AA,DL,MQ,OH,YX"
LGA,LFT,LGA-LFT,76,82.0,324.69,212.03,0.653,10,1442.0,2.11,medium,"9E,AA,C5,DL,MQ,OH,OO,UA,YV,YX"
MEM,JFK,MEM-JFK,89,100.0,236.93,137.65,0.581,4,1112.0,2.0,medium,"9E,AA,DL,YX"
MEM,EWR,MEM-EWR,803,1036.0,246.34,134.35,0.5454,11,978.0,1.23,medium,"9E,AA,DL,G7,MQ,NK,OH,OO,UA,YV,YX"
MIA,HPN,MIA-HPN,183,226.0,252.01,177.17,0.703,7,1163.0,1.47,medium,"9E,AA,B6,DL,MQ,OH,YX"
LGA,JAN,LGA-JAN,246,279.0,309.77,171.61,0.554,9,1152.0,2.05,medium,"AA,C5,DL,MQ,OH,PT,UA,WN,YX"
JAN,LGA,JAN-LGA,262,288.0,319.15,169.36,0.5307,10,1149.0,2.03,medium,"9E,AA,C5,DL,MQ,OH,PT,UA,WN,YX"
MSN,BDL,MSN-BDL,161,161.0,285.21,155.07,0.5437,11,1037.0,2.0,medium,"9E,AA,DL,G7,MQ,OH,OO,PT,UA,YX,ZW"
MSP,ILM,MSP-ILM,253,374.0,221.08,138.7,0.6273,9,1172.0,1.56,medium,"9E,AA,DL,G7,MQ,OH,PT,SY,YX"
MSP,ALB,MSP-ALB,348,370.0,306.67,170.55,0.5561,12,1113.0,2.02,medium,"9E,AA,DL,MQ,OH,OO,PT,UA,WN,YV,YX,ZW"
LGA,BFL,LGA-BFL,46,50.0,334.35,187.4,0.5605,4,2612.0,2.15,long,"AA,OO,UA,YX"
LGA,MVY,LGA-MVY,210,388.0,200.78,140.78,0.7011,4,178.0,1.06,short,"AA,B6,DL,YX"
LGA,ACK,LGA-ACK,352,556.0,198.81,125.14,0.6295,3,205.0,1.07,short,"B6,DL,YX"
ACK,JFK,ACK-JFK,211,366.0,203.62,114.1,0.5604,3,200.0,1.01,short,"B6,DL,YX"
MVY,JFK,MVY-JFK,152,283.0,185.95,111.0,0.597,3,175.0,1.02,short,"B6,DL,YX"
MVY,LGA,MVY-LGA,225,347.0,184.59,107.4,0.5818,3,178.0,1.05,short,"9E,B6,YX"
OKC,PBI,OKC-PBI,163,176.0,312.92,185.71,0.5935,7,1340.0,2.04,medium,"AA,DL,MQ,OO,WN,YV,YX"
OKC,MIA,OKC-MIA,582,709.0,283.78,176.41,0.6216,10,1341.0,1.63,medium,"AA,DL,F9,MQ,OH,OO,UA,WN,YV,YX"
OMA,EWR,OMA-EWR,328,357.0,352.01,251.58,0.7147,7,1274.0,1.92,medium,"9E,AA,DL,MQ,OO,UA,YX"
OMA,JFK,OMA-JFK,44,49.0,304.11,206.02,0.6775,6,1411.0,2.02,medium,"9E,AA,DL,MQ,OO,YX"
LGA,CMI,LGA-CMI,66,72.0,279.36,250.04,0.8951,4,880.0,2.06,medium,"AA,MQ,YX,ZW"
LGA,BMI,LGA-BMI,46,51.0,278.56,153.22,0.55,5,907.0,2.0,medium,"9E,AA,DL,YX,ZW"
BMI,LGA,BMI-LGA,51,53.0,301.7,215.54,0.7144,4,927.0,2.02,medium,"9E,AA,YX,ZW"
COU,LGA,COU-LGA,26,26.0,370.18,348.85,0.9424,4,1050.0,2.04,medium,"AA,MQ,YX,ZW"
LGA,MHK,LGA-MHK,35,38.0,235.98,114.09,0.4835,4,1468.0,2.0,medium,"AA,MQ,YX,ZW"
LGA,RST,LGA-RST,45,46.0,263.38,146.63,0.5567,8,1053.0,2.07,medium,"9E,AA,DL,MQ,OO,PT,YX,ZW"
RST,LGA,RST-LGA,50,53.0,267.38,135.6,0.5071,8,1061.0,2.12,medium,"9E,AA,DL,MQ,OO,PT,YX,ZW"
LGA,SGF,LGA-SGF,184,199.0,288.16,171.11,0.5938,9,1296.0,2.07,medium,"9E,AA,DL,MQ,OH,OO,UA,YX,ZW"
SGF,LGA,SGF-LGA,201,210.0,318.66,197.73,0.6205,10,1322.0,2.01,medium,"9E,AA,C5,DL,MQ,OH,OO,UA,YX,ZW"
ORF,JFK,ORF-JFK,471,774.0,191.62,100.84,0.5262,5,291.0,1.03,short,"9E,MQ,OH,PT,YX"
ORF,PHL,ORF-PHL,345,419.0,261.2,134.98,0.5167,8,219.0,1.06,short,"F9,G7,OH,OO,PT,UA,YX,ZW"
LGA,PHL,LGA-PHL,56,71.0,250.78,95.41,0.3805,1,96.0,1.0,short,YX
AVL,LGA,AVL-LGA,810,1341.0,245.8,330.59,1.3449,7,607.0,1.11,medium,"9E,AA,DL,MQ,OH,OO,YX"
LGA,BOS,LGA-BOS,3080,9711.0,228.32,129.16,0.5657,5,184.0,1.0,short,"9E,AA,B6,DL,YX"
BOS,LGA,BOS-LGA,3070,9782.0,228.44,131.86,0.5772,7,184.0,1.0,short,"9E,AA,B6,DL,PT,UA,YX"
LGA,BTV,LGA-BTV,258,446.0,262.44,131.49,0.501,4,262.0,1.02,short,"9E,AA,DL,YX"
BTV,LGA,BTV-LGA,257,446.0,251.77,136.05,0.5404,6,275.0,1.07,short,"9E,AA,DL,OH,YX,ZW"
LGA,MGM,LGA-MGM,133,145.0,261.68,141.09,0.5392,7,909.0,2.02,medium,"9E,AA,DL,OH,OO,PT,YX"
DEN,EWR,DEN-EWR,2453,6698.0,361.0,260.72,0.7222,8,1643.0,1.21,long,"AA,DL,G7,MQ,OO,SY,UA,YX"
LGA,SHV,LGA-SHV,122,130.0,325.19,237.61,0.7307,8,1409.0,2.07,medium,"9E,AA,C5,DL,MQ,OH,UA,YX"
LGA,DRO,LGA-DRO,79,83.0,412.47,177.45,0.4302,5,1946.0,2.06,long,"AA,C5,OO,UA,YX"
LGA,MAF,LGA-MAF,163,216.0,321.8,314.8,0.9782,8,1784.0,2.07,long,"AA,DL,MQ,OO,UA,WN,YV,YX"
ONT,LGA,ONT-LGA,606,795.0,262.57,189.92,0.7233,8,2570.0,2.09,long,"9E,AA,DL,F9,OO,UA,WN,YX"
IND,CAE,IND-CAE,142,164.0,271.66,166.2,0.6118,9,614.0,2.0,medium,"9E,AA,C5,DL,MQ,OH,OO,PT,YX"
LGA,OGG,LGA-OGG,94,101.0,423.21,416.05,0.9831,4,5011.0,2.16,long,"AA,DL,UA,YX"
LGA,LEX,LGA-LEX,237,260.0,293.89,172.14,0.5858,10,886.0,2.02,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,YX,ZW"
LEX,LGA,LEX-LGA,248,274.0,282.74,186.38,0.6592,10,894.0,2.02,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,YX,ZW"
PHL,LGA,PHL-LGA,67,85.0,260.14,162.88,0.6261,2,96.0,1.0,short,"AA,YX"
LGA,MYR,LGA-MYR,1000,3232.0,157.87,127.31,0.8064,10,598.0,1.12,medium,"9E,AA,DL,F9,NK,OH,OO,WN,YV,YX"
BUR,LGA,BUR-LGA,323,418.0,231.41,129.85,0.5611,6,2544.0,2.14,long,"AA,DL,OO,UA,WN,YX"
LGA,PWM,LGA-PWM,638,915.0,258.69,138.45,0.5352,5,270.0,1.02,short,"9E,AA,B6,DL,YX"
DCA,BTV,DCA-BTV,661,953.0,246.92,134.78,0.5459,9,438.0,1.07,short,"9E,AA,G7,MQ,OH,UA,YV,YX,ZW"
LGA,SYR,LGA-SYR,323,444.0,206.74,111.0,0.5369,5,198.0,1.0,short,"9E,DL,OO,PT,YX"
BGR,JFK,BGR-JFK,81,90.0,225.85,117.28,0.5193,3,391.0,1.07,short,"9E,OH,YX"
BGR,LGA,BGR-LGA,249,348.0,269.97,155.79,0.5771,6,379.0,1.03,short,"9E,AA,OH,OO,PT,YX"
PWM,EWR,PWM-EWR,746,933.0,215.61,113.13,0.5247,3,289.0,1.02,short,"G7,UA,YX"
RIC,JFK,RIC-JFK,286,377.0,229.44,119.77,0.522,5,297.0,1.03,short,"9E,B6,DL,OO,YX"
ROC,JFK,ROC-JFK,571,1502.0,183.78,100.01,0.5442,6,266.0,1.07,short,"9E,B6,OH,PT,YV,YX"
LGA,AGS,LGA-AGS,367,401.0,309.35,282.88,0.9144,8,732.0,1.66,medium,"9E,AA,DL,MQ,OH,OO,PT,YX"
TYS,HPN,TYS-HPN,33,33.0,232.25,108.89,0.4688,6,749.0,2.0,medium,"9E,DL,MQ,OH,OO,YX"
LIT,BOS,LIT-BOS,334,371.0,333.89,193.05,0.5782,12,1374.0,2.01,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,WN,YV,YX,ZW"
BOS,LIT,BOS-LIT,342,386.0,323.6,177.7,0.5491,10,1385.0,2.02,medium,"9E,AA,DL,MQ,OO,UA,WN,YV,YX,ZW"
LIT,FLL,LIT-FLL,230,252.0,273.37,153.31,0.5608,9,1218.0,2.01,medium,"AA,C5,DL,MQ,OH,OO,UA,WN,YX"
FLL,LIT,FLL-LIT,226,248.0,267.05,149.51,0.5599,9,1241.0,2.01,medium,"AA,DL,MQ,OH,OO,PT,UA,WN,YX"
LIT,MCO,LIT-MCO,726,867.0,259.46,126.98,0.4894,11,1068.0,1.98,medium,"AA,C5,DL,G7,MQ,OH,OO,UA,WN,YV,YX"
MCO,LIT,MCO-LIT,732,877.0,266.49,139.97,0.5252,11,1099.0,2.0,medium,"AA,C5,DL,F9,MQ,OH,OO,UA,WN,YV,YX"
LIT,PHL,LIT-PHL,328,353.0,292.46,173.11,0.5919,11,1152.0,2.01,medium,"9E,AA,C5,DL,G7,MQ,OH,OO,UA,WN,YX"
PHL,LIT,PHL-LIT,306,330.0,277.47,170.88,0.6159,10,1150.0,2.02,medium,"9E,AA,C5,DL,MQ,OH,OO,UA,WN,YX"
LIT,ALB,LIT-ALB,41,42.0,337.61,187.25,0.5546,8,1282.0,2.02,medium,"9E,AA,DL,MQ,OO,PT,UA,YX"
ALB,LIT,ALB-LIT,46,47.0,335.11,184.55,0.5507,9,1306.0,2.04,medium,"9E,AA,DL,MQ,OH,OO,PT,UA,YX"
LIT,BGR,LIT-BGR,23,24.0,325.02,208.62,0.6418,9,1522.0,2.35,long,"9E,AA,DL,MQ,OH,OO,UA,YX,ZW"
BGR,LIT,BGR-LIT,24,25.0,417.94,303.02,0.725,8,1526.0,2.29,long,"9E,AA,DL,MQ,OH,OO,UA,YX"
LIT,BUF,LIT-BUF,58,59.0,260.62,185.11,0.7103,10,1177.0,2.05,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,WN,YX"
BUF,LIT,BUF-LIT,55,57.0,268.28,132.54,0.494,10,1232.0,2.02,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,WN,YX"
LIT,CHO,LIT-CHO,36,36.0,316.46,131.63,0.416,6,1031.0,2.0,medium,"9E,DL,MQ,OO,PT,YX"
CHO,LIT,CHO-LIT,38,38.0,285.35,125.72,0.4406,6,948.0,2.03,medium,"9E,DL,MQ,OO,PT,YX"
LIT,CHS,LIT-CHS,139,149.0,270.89,166.86,0.616,10,872.0,2.03,medium,"AA,C5,DL,MQ,OH,OO,UA,WN,YV,YX"
LIT,CMH,LIT-CMH,156,162.0,263.01,149.11,0.5669,9,921.0,2.0,medium,"AA,C5,DL,MQ,OH,OO,UA,WN,YX"
LIT,DTW,LIT-DTW,286,304.0,270.22,147.15,0.5445,12,996.0,2.01,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,WN,YV,YX,ZW"
EWR,LIT,EWR-LIT,219,226.0,324.59,178.47,0.5498,9,1278.0,2.03,medium,"AA,C5,DL,G7,MQ,OH,OO,UA,YX"
MIA,LIT,MIA-LIT,404,449.0,233.95,180.59,0.7719,11,1287.0,1.93,medium,"AA,C5,DL,F9,MQ,OH,OO,UA,WN,YV,YX"
LIT,ROA,LIT-ROA,31,31.0,285.69,144.16,0.5046,7,865.0,2.0,medium,"9E,AA,DL,MQ,OO,PT,YX"
LIT,JAX,LIT-JAX,211,234.0,268.66,140.46,0.5228,10,877.0,2.01,medium,"AA,C5,DL,MQ,OH,OO,UA,WN,YV,YX"
JAX,LIT,JAX-LIT,210,231.0,266.52,132.88,0.4986,9,871.0,2.02,medium,"AA,DL,MQ,OH,OO,UA,WN,YV,YX"
LAX,LIT,LAX-LIT,555,655.0,275.4,203.1,0.7375,12,1653.0,1.87,long,"AA,C5,DL,F9,G4,MQ,OH,OO,UA,WN,YV,YX"
MCI,BOS,MCI-BOS,1758,2296.0,286.14,155.68,0.544,15,1316.0,1.58,medium,"9E,AA,B6,DL,F9,MQ,NK,OH,OO,PT,UA,WN,YV,YX,ZW"
MCI,BTV,MCI-BTV,103,104.0,312.0,151.65,0.486,9,1374.0,2.05,medium,"9E,AA,C5,DL,OH,OO,UA,YV,YX"
BTV,MCI,BTV-MCI,99,100.0,306.65,160.95,0.5249,9,1398.0,2.01,medium,"9E,AA,C5,DL,OH,OO,UA,YX,ZW"
MCI,FLL,MCI-FLL,1336,2258.0,231.58,137.22,0.5925,11,1316.0,1.42,medium,"9E,AA,B6,DL,MQ,NK,OO,UA,WN,YV,YX"
FLL,MCI,FLL-MCI,1356,2293.0,228.85,133.09,0.5816,11,1332.0,1.42,medium,"9E,AA,B6,DL,F9,MQ,NK,UA,WN,YV,YX"
BOS,MCO,BOS-MCO,5574,18447.0,251.03,182.27,0.7261,10,1150.0,1.29,medium,"9E,AA,B6,DL,F9,NK,PT,UA,WN,YX"
MCI,DCA,MCI-DCA,2180,3573.0,253.63,151.3,0.5965,10,969.0,1.13,medium,"9E,AA,DL,MQ,OH,OO,UA,WN,YV,YX"
MCI,ALB,MCI-ALB,208,220.0,298.7,148.68,0.4978,12,1232.0,2.0,medium,"9E,AA,C5,DL,MQ,OH,OO,PT,UA,WN,YX,ZW"
ALB,MCI,ALB-MCI,214,227.0,286.95,147.56,0.5142,12,1264.0,2.02,medium,"9E,AA,C5,DL,MQ,OH,OO,PT,UA,WN,YX,ZW"
DCA,MCI,DCA-MCI,2170,3511.0,249.92,141.82,0.5675,12,973.0,1.16,medium,"9E,AA,DL,G7,MQ,OH,OO,PT,UA,WN,YV,YX"
MCI,BDL,MCI-BDL,400,430.0,296.0,151.45,0.5116,11,1295.0,2.02,medium,"9E,AA,DL,MQ,OH,PT,UA,WN,YV,YX,ZW"
BDL,MCI,BDL-MCI,409,431.0,280.79,142.61,0.5079,13,1313.0,1.99,medium,"9E,AA,DL,MQ,NK,OH,PT,SY,UA,WN,YV,YX,ZW"
MCI,BGR,MCI-BGR,54,54.0,319.56,181.03,0.5665,9,1490.0,2.11,medium,"9E,AA,DL,MQ,OH,OO,PT,UA,YX"
BGR,MCI,BGR-MCI,50,50.0,340.46,155.08,0.4555,9,1513.0,2.06,long,"9E,AA,DL,MQ,OH,OO,PT,UA,YX"
DCA,BHM,DCA-BHM,935,1310.0,277.1,144.55,0.5217,9,734.0,1.3,medium,"9E,AA,DL,MQ,OH,UA,WN,YX,ZW"
BHM,MCI,BHM-MCI,281,324.0,263.1,134.97,0.513,10,972.0,2.0,medium,"9E,AA,DL,MQ,OH,OO,UA,WN,YV,YX"
PHL,MCI,PHL-MCI,1453,2079.0,272.17,155.94,0.5729,14,1119.0,1.5,medium,"9E,AA,DL,F9,MQ,NK,OH,OO,PT,UA,WN,YV,YX,ZW"
MCI,BUF,MCI-BUF,286,311.0,265.84,149.81,0.5635,14,1019.0,2.02,medium,"9E,AA,B6,DL,F9,G7,MQ,OH,OO,PT,UA,WN,YX,ZW"
BUF,MCI,BUF-MCI,284,304.0,255.37,134.83,0.528,14,1034.0,2.01,medium,"9E,AA,B6,DL,F9,G7,MQ,OH,OO,PT,UA,WN,YV,YX"
BWI,MCI,BWI-MCI,1344,2031.0,248.23,130.95,0.5275,9,1058.0,1.44,medium,"9E,AA,DL,F9,MQ,NK,UA,WN,YX"
MCI,CHS,MCI-CHS,549,663.0,249.21,173.08,0.6945,9,1094.0,2.0,medium,"9E,AA,DL,MQ,OH,UA,WN,YV,YX"
CHS,MCI,CHS-MCI,543,647.0,259.79,182.66,0.7031,11,1139.0,2.0,medium,"9E,AA,B6,DL,MQ,NK,OH,UA,WN,YV,YX"
MCI,CLT,MCI-CLT,1040,1768.0,263.31,133.82,0.5082,14,876.0,1.39,medium,"9E,AA,DL,F9,MQ,NK,OH,OO,PT,UA,WN,YV,YX,ZW"
MCI,CMH,MCI-CMH,641,690.0,270.89,154.54,0.5705,12,867.0,1.96,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,WN,YV,YX,ZW"
CMH,MCI,CMH-MCI,649,718.0,263.62,142.14,0.5392,12,879.0,1.97,medium,"9E,AA,DL,G7,MQ,OH,OO,UA,WN,YV,YX,ZW"
JFK,MCI,JFK-MCI,651,1191.0,197.19,120.2,0.6095,6,1149.0,1.24,medium,"9E,AA,B6,DL,OO,YX"
JFK,SGF,JFK-SGF,51,55.0,310.66,206.99,0.6663,6,1330.0,2.0,medium,"AA,DL,MQ,OH,YX,ZW"
MCI,LYH,MCI-LYH,23,26.0,350.33,166.9,0.4764,3,988.0,2.13,medium,"AA,PT,YX"
LYH,MCI,LYH-MCI,23,24.0,350.41,154.34,0.4405,3,983.0,2.0,medium,"AA,PT,YX"
MCO,MCI,MCO-MCI,2793,5949.0,219.39,129.04,0.5882,12,1133.0,1.29,medium,"AA,B6,DL,F9,MQ,NK,OO,UA,WN,YV,YX,ZW"
MCI,MHT,MCI-MHT,156,166.0,260.33,138.3,0.5312,7,1358.0,2.01,medium,"AA,MQ,OH,PT,UA,WN,YX"
MHT,MCI,MHT-MCI,150,162.0,245.93,128.07,0.5207,7,1382.0,2.01,medium,"AA,MQ,OH,PT,UA,WN,YX"
MSY,MCI,MSY-MCI,923,1303.0,231.88,119.2,0.5141,9,828.0,1.49,medium,"AA,DL,F9,MQ,OO,UA,WN,YV,YX"
MCI,MYR,MCI-MYR,407,487.0,216.02,117.24,0.5427,11,1058.0,1.9,medium,"9E,AA,DL,MQ,NK,OH,OO,PT,UA,WN,YX"
MYR,MCI,MYR-MCI,406,485.0,216.6,110.44,0.5099,11,1062.0,1.91,medium,"9E,AA,DL,MQ,NK,OH,OO,PT,UA,WN,YX"
MCI,ORF,MCI-ORF,469,521.0,270.86,161.04,0.5945,12,1174.0,2.01,medium,"9E,AA,DL,MQ,NK,OH,OO,PT,UA,WN,YV,YX"
ORF,MCI,ORF-MCI,450,506.0,269.95,144.12,0.5339,12,1205.0,2.01,medium,"9E,AA,DL,F9,MQ,NK,OH,OO,PT,UA,WN,YX"
MCI,PBI,MCI-PBI,310,374.0,284.24,162.97,0.5734,7,1344.0,2.0,medium,"9E,AA,DL,MQ,UA,WN,YX"
PBI,MCI,PBI-MCI,294,362.0,280.45,172.66,0.6156,8,1341.0,2.01,medium,"9E,AA,B6,DL,MQ,UA,WN,YX"
MCI,JAX,MCI-JAX,716,837.0,234.02,125.79,0.5375,10,1088.0,2.01,medium,"AA,DL,F9,MQ,OH,SY,UA,WN,YV,YX"
